,p,d,q,P,D,Q,s,AIC
0,0,0,0,0,0,0,12,1475.196239667728
1,0,0,0,0,0,1,12,1411.8673046228419
2,0,0,0,0,1,0,12,1155.241521685033
3,0,0,0,0,1,1,12,1134.1578969088328
4,0,0,0,1,0,0,12,1342.9622450178986
5,0,0,0,1,0,1,12,1327.314923026603
6,0,0,0,1,1,0,12,1143.7880011939808
7,0,0,0,1,1,1,12,1135.5858289288522
8,0,0,1,0,0,0,12,1411.4453307282604
9,0,0,1,0,0,1,12,1381.007914670586
10,0,0,1,0,1,0,12,1156.529476776187
11,0,0,1,0,1,1,12,1134.959635454777
12,0,0,1,1,0,0,12,1340.661741790665
13,0,0,1,1,0,1,12,1324.7024541925987
14,0,0,1,1,1,0,12,1144.7703121316235
15,0,0,1,1,1,1,12,1136.5245293138296
16,0,1,0,0,0,0,12,1302.5054956820136
17,0,1,0,0,0,1,12,1304.3664514182462
18,0,1,0,0,1,0,12,1186.9284056134316
19,0,1,0,0,1,1,12,1160.6260227357498
20,0,1,0,1,0,0,12,1304.3982971662715
21,0,1,0,1,0,1,12,1303.8889757505951
22,0,1,0,1,1,0,12,1172.611722016737
23,0,1,0,1,1,1,12,1162.5879247399087
24,0,1,1,0,0,0,12,1259.0397058748956
25,0,1,1,0,0,1,12,1261.023689357431
26,0,1,1,0,1,0,12,1147.712697484591
27,0,1,1,0,1,1,12,1123.6178850365889
28,0,1,1,1,0,0,12,1261.0270766813303
29,0,1,1,1,0,1,12,1260.6653487499198
30,0,1,1,1,1,0,12,1133.4981703361798
31,0,1,1,1,1,1,12,1125.6122152002506
32,1,0,0,0,0,0,12,1315.7978365636354
33,1,0,0,0,0,1,12,1317.7508822685095
34,1,0,0,0,1,0,12,1156.213040168047
35,1,0,0,0,1,1,12,1134.6021444299022
36,1,0,0,1,0,0,12,1317.758392775068
37,1,0,0,1,0,1,12,1319.5310077995764
38,1,0,0,1,1,0,12,1144.3218041702455
39,1,0,0,1,1,1,12,1136.209238702339
40,1,0,1,0,0,0,12,1276.6117520360544
41,1,0,1,0,0,1,12,1278.5822141506162
42,1,0,1,0,1,0,12,1157.2639370218376
43,1,0,1,0,1,1,12,1135.7041960394808
44,1,0,1,1,0,0,12,1278.58829883331
45,1,0,1,1,0,1,12,1280.3508858256382
46,1,0,1,1,1,0,12,1144.7555306658578
47,1,0,1,1,1,1,12,1137.4740902456842
48,1,1,0,0,0,0,12,1281.2016462067338
49,1,1,0,0,0,1,12,1282.5490733607387
50,1,1,0,0,1,0,12,1157.538592228369
51,1,1,0,0,1,1,12,1139.113559178597
52,1,1,0,1,0,0,12,1282.5956740470297
53,1,1,0,1,0,1,12,1283.058101036337
54,1,1,0,1,1,0,12,1145.4189996909495
55,1,1,0,1,1,1,12,1141.0302879667126
56,1,1,1,0,0,0,12,1260.3742029628486
57,1,1,1,0,0,1,12,1262.327411543172
58,1,1,1,0,1,0,12,1148.7636442627231
59,1,1,1,0,1,1,12,1125.2225739986889
60,1,1,1,1,0,0,12,1262.3371570998772
61,1,1,1,1,0,1,12,1261.7628755512815
62,1,1,1,1,1,0,12,1135.1237844704774
63,1,1,1,1,1,1,12,1127.2074665074076
